Driver,EventName,TyreLife,exact_compound,delta_from_fresh,dirty_air,TrackTemp,AirTemp
VER,Bahrain Grand Prix,14.0,C3,1.2822692307692165,0.0,23.5,18.2
PER,Bahrain Grand Prix,14.0,C3,1.788269230769231,0.0,23.5,18.2
SAI,Bahrain Grand Prix,14.0,C3,1.0144615384615463,0.6622,23.5,18.2
NOR,Bahrain Grand Prix,14.0,C3,1.1056538461538423,0.0,23.5,18.2
PIA,Bahrain Grand Prix,14.0,C3,0.8836538461538481,0.0,23.5,18.2
HAM,Bahrain Grand Prix,14.0,C3,0.6162307692307678,0.5446,23.5,18.2
ALO,Bahrain Grand Prix,14.0,C3,1.161653846153854,0.8124,23.5,18.2
TSU,Bahrain Grand Prix,11.0,C3,0.7139999999999986,0.6516,23.5,18.2
ALB,Bahrain Grand Prix,11.0,C3,0.6434999999999889,0.5956,23.5,18.2
RIC,Bahrain Grand Prix,14.0,C3,0.8141764705882366,0.0,23.5,18.2
GAS,Bahrain Grand Prix,11.0,C3,0.24888775510204653,0.7454000000000001,23.5,18.2
BOT,Bahrain Grand Prix,11.0,C3,1.11399999999999,0.6656,23.5,18.2
ZHO,Bahrain Grand Prix,2.0,C1,-0.34294117647058897,0.0,23.5,18.2
STR,Bahrain Grand Prix,2.0,C1,-0.3679038461538511,0.662,23.5,18.2
HUL,Bahrain Grand Prix,10.0,C1,0.7325000000000017,0.0,23.6,18.3
VER,Bahrain Grand Prix,15.0,C3,1.297076923076915,0.0,23.6,18.3
SAI,Bahrain Grand Prix,15.0,C3,1.0632692307692366,0.0,23.6,18.3
NOR,Bahrain Grand Prix,15.0,C3,1.0704615384615295,0.0,23.6,18.3
ALO,Bahrain Grand Prix,15.0,C3,1.2054615384615488,0.0,23.5,18.3
TSU,Bahrain Grand Prix,12.0,C3,0.73988235294118,0.0,23.5,18.3
ALB,Bahrain Grand Prix,12.0,C3,0.7983823529411751,0.5884,23.5,18.3
RIC,Bahrain Grand Prix,15.0,C3,0.7300588235294185,0.0,23.5,18.3
ZHO,Bahrain Grand Prix,3.0,C1,0.3429411764706032,0.0,23.5,18.3
STR,Bahrain Grand Prix,3.0,C1,0.36790384615383687,0.6362,23.5,18.3
OCO,Bahrain Grand Prix,2.0,C1,0.09005882352941796,0.0,23.5,18.3
HUL,Bahrain Grand Prix,11.0,C1,0.8575000000000017,0.023799999999999932,23.5,18.3
VER,Bahrain Grand Prix,16.0,C3,1.336884615384605,0.0,23.4,18.2
SAI,Bahrain Grand Prix,16.0,C3,0.7110769230769165,0.0,23.4,18.2
ALO,Bahrain Grand Prix,16.0,C3,1.3042692307692363,0.0,23.4,18.2
TSU,Bahrain Grand Prix,13.0,C3,0.8867647058823422,0.5574,23.4,18.2
ALB,Bahrain Grand Prix,13.0,C3,0.7432647058823392,0.5554,23.4,18.2
SAR,Bahrain Grand Prix,2.0,C1,-1.2776875000000132,0.0,23.4,18.2
RUS,Bahrain Grand Prix,2.0,C1,-0.22940384615384346,0.0,23.4,18.2
LEC,Bahrain Grand Prix,2.0,C1,-0.18940384615385142,0.0,23.4,18.2
ZHO,Bahrain Grand Prix,4.0,C1,0.839823529411774,0.0,23.3,18.2
STR,Bahrain Grand Prix,4.0,C1,0.5367115384615317,0.6002,23.3,18.2
MAG,Bahrain Grand Prix,2.0,C1,-0.37794117647059977,0.7694,23.3,18.2
OCO,Bahrain Grand Prix,3.0,C1,-0.09005882352941796,0.6134,23.3,18.2
HUL,Bahrain Grand Prix,12.0,C1,1.0095000000000027,0.0023999999999999577,23.3,18.2
VER,Bahrain Grand Prix,17.0,C3,1.3896923076923002,0.0,23.3,18.2
ALO,Bahrain Grand Prix,17.0,C3,1.3840769230769183,0.0,23.5,18.1
ALB,Bahrain Grand Prix,14.0,C3,0.9531470588235322,0.0,23.5,18.1
PER,Bahrain Grand Prix,2.0,C1,-0.6319038461538469,0.0,23.5,18.1
SAR,Bahrain Grand Prix,3.0,C1,1.277687499999999,0.0,23.5,18.1
RUS,Bahrain Grand Prix,3.0,C1,0.22940384615384346,0.0,23.5,18.1
LEC,Bahrain Grand Prix,3.0,C1,0.1894038461538372,0.6368,23.5,18.1
PIA,Bahrain Grand Prix,2.0,C1,-0.040903846153838685,0.0,23.5,18.1
HAM,Bahrain Grand Prix,2.0,C1,-0.07040384615383743,0.5556,23.5,18.1
ZHO,Bahrain Grand Prix,5.0,C1,0.9417058823529487,0.1754,23.5,18.1
STR,Bahrain Grand Prix,5.0,C1,0.926519230769216,0.6295999999999999,23.5,18.1
MAG,Bahrain Grand Prix,3.0,C1,0.37794117647058556,0.8492,23.5,18.1
OCO,Bahrain Grand Prix,4.0,C1,0.13982352941177112,0.5187999999999999,23.5,18.1
HUL,Bahrain Grand Prix,13.0,C1,1.1444999999999936,0.0,23.5,18.1
BOT,Bahrain Grand Prix,2.0,C1,-0.44444117647059045,0.2902,23.5,18.1
GAS,Bahrain Grand Prix,2.0,C1,0.06941836734692686,0.0,23.5,18.1
VER,Bahrain Grand Prix,18.0,C3,1.4274999999999949,0.0,23.3,18.1
PER,Bahrain Grand Prix,3.0,C1,0.6319038461538469,0.0,23.2,18.1
RUS,Bahrain Grand Prix,4.0,C1,-0.3647884615384669,0.7263999999999999,23.2,18.1
LEC,Bahrain Grand Prix,4.0,C1,0.3012115384615299,0.0,23.2,18.1
SAR,Bahrain Grand Prix,4.0,C1,1.8180624999999964,0.0,23.2,18.1
NOR,Bahrain Grand Prix,2.0,C1,0.14609615384615893,0.0,23.2,18.1
PIA,Bahrain Grand Prix,3.0,C1,0.040903846153838685,0.6308,23.2,18.1
HAM,Bahrain Grand Prix,3.0,C1,0.07040384615385165,0.47919999999999996,23.2,18.1
ZHO,Bahrain Grand Prix,6.0,C1,1.0155882352941177,0.11460000000000004,23.2,18.1
STR,Bahrain Grand Prix,6.0,C1,0.8903269230769126,0.6012,23.2,18.1
MAG,Bahrain Grand Prix,4.0,C1,1.175823529411744,0.0,23.2,18.1
OCO,Bahrain Grand Prix,5.0,C1,0.5017058823529368,0.5294,23.2,18.1
RIC,Bahrain Grand Prix,2.0,C1,-0.08094117647060273,0.0826,23.2,18.1
HUL,Bahrain Grand Prix,14.0,C1,1.4324999999999903,0.7638,23.2,18.1
BOT,Bahrain Grand Prix,3.0,C1,0.44444117647059045,0.5751999999999999,23.2,18.1
GAS,Bahrain Grand Prix,3.0,C1,-0.06941836734694107,0.8346,23.2,18.1
VER,Bahrain Grand Prix,19.0,C3,1.6393076923076961,0.0,23.3,18.1
PER,Bahrain Grand Prix,4.0,C1,-0.34528846153845905,0.0,23.3,18.1
RUS,Bahrain Grand Prix,5.0,C1,-0.5489807692307664,0.705,23.3,18.1
LEC,Bahrain Grand Prix,5.0,C1,0.21601923076921992,0.8216,23.3,18.1
SAI,Bahrain Grand Prix,2.0,C1,0.4070961538461546,0.8618,23.3,18.1
SAR,Bahrain Grand Prix,5.0,C1,-1.9985625000000056,0.0,23.3,18.1
NOR,Bahrain Grand Prix,3.0,C1,-0.14609615384615893,0.0,23.3,18.1
PIA,Bahrain Grand Prix,4.0,C1,-0.30028846153845734,0.6486000000000001,23.3,18.1
HAM,Bahrain Grand Prix,4.0,C1,-0.047788461538459615,0.391,23.3,18.1
ZHO,Bahrain Grand Prix,7.0,C1,1.2304705882353062,0.0673999999999999,23.3,18.1
STR,Bahrain Grand Prix,7.0,C1,1.439134615384603,0.0,23.4,18.1
TSU,Bahrain Grand Prix,2.0,C1,-0.010941176470581127,0.8136,23.4,18.1
MAG,Bahrain Grand Prix,5.0,C1,0.6487058823529281,0.8826,23.4,18.1
OCO,Bahrain Grand Prix,6.0,C1,0.6165882352941168,0.6272,23.4,18.1
RIC,Bahrain Grand Prix,3.0,C1,0.08094117647058852,0.0,23.4,18.1
HUL,Bahrain Grand Prix,15.0,C1,1.1754999999999995,0.5558,23.4,18.1
BOT,Bahrain Grand Prix,4.0,C1,0.9313235294117703,0.7398,23.4,18.1
GAS,Bahrain Grand Prix,4.0,C1,0.017744897959190098,0.7936,23.4,18.1
PER,Bahrain Grand Prix,5.0,C1,0.380519230769238,0.0,23.4,18.1
RUS,Bahrain Grand Prix,6.0,C1,-0.943173076923074,0.525,23.4,18.1
SAI,Bahrain Grand Prix,3.0,C1,-0.4070961538461404,0.7448,23.4,18.1
LEC,Bahrain Grand Prix,6.0,C1,0.8998269230769296,0.0,23.4,18.1
NOR,Bahrain Grand Prix,4.0,C1,0.11971153846154436,0.0,23.4,18.1
PIA,Bahrain Grand Prix,5.0,C1,0.1995192307692406,0.6762,23.4,18.1
SAR,Bahrain Grand Prix,6.0,C1,1.8368125000000077,0.0,23.4,18.1
HAM,Bahrain Grand Prix,5.0,C1,0.027019230769255387,0.2582,23.4,18.1
ALO,Bahrain Grand Prix,2.0,C1,-0.22290384615385506,0.0,23.4,18.1
ZHO,Bahrain Grand Prix,8.0,C1,2.1023529411764628,0.0,23.4,18.1
TSU,Bahrain Grand Prix,3.0,C1,0.010941176470581127,0.4368000000000001,23.4,18.1
STR,Bahrain Grand Prix,8.0,C1,2.2439423076923077,0.0,23.4,18.1
MAG,Bahrain Grand Prix,6.0,C1,1.2375882352941119,0.7518,23.4,18.1
ALB,Bahrain Grand Prix,2.0,C1,-0.126941176470595,0.47740000000000005,23.4,18.1
OCO,Bahrain Grand Prix,7.0,C1,1.6814705882352854,0.0,23.4,18.1
RIC,Bahrain Grand Prix,4.0,C1,0.2508235294117753,0.38239999999999996,23.4,18.1
HUL,Bahrain Grand Prix,16.0,C1,1.3275000000000006,0.43179999999999996,23.4,18.1
BOT,Bahrain Grand Prix,5.0,C1,1.0342058823529499,0.7554,23.4,18.1
GAS,Bahrain Grand Prix,5.0,C1,0.503908163265308,0.833,23.4,18.1
PER,Bahrain Grand Prix,6.0,C1,0.2923269230769421,0.0,23.3,18.1
SAI,Bahrain Grand Prix,4.0,C1,0.22871153846153902,0.45919999999999994,23.3,18.1
RUS,Bahrain Grand Prix,7.0,C1,0.6966346153846246,0.0,23.3,18.1
LEC,Bahrain Grand Prix,7.0,C1,1.0906346153846158,0.61,23.3,18.1
NOR,Bahrain Grand Prix,5.0,C1,-0.09348076923076576,0.0,23.3,18.1
PIA,Bahrain Grand Prix,6.0,C1,0.47732692307693014,0.657,23.3,18.1
HAM,Bahrain Grand Prix,6.0,C1,-0.17917307692306395,0.21040000000000003,23.3,18.1
SAR,Bahrain Grand Prix,7.0,C1,0.2841874999999874,0.0,23.3,18.1
ALO,Bahrain Grand Prix,3.0,C1,0.22290384615384085,0.0,23.3,18.1
ZHO,Bahrain Grand Prix,9.0,C1,1.2352352941176576,0.8220000000000001,23.3,18.1
TSU,Bahrain Grand Prix,4.0,C1,-0.056176470588241045,0.6354,23.3,18.1
STR,Bahrain Grand Prix,9.0,C1,0.9387499999999989,0.8251999999999999,23.3,18.1
MAG,Bahrain Grand Prix,7.0,C1,0.5944705882352821,0.8508,23.3,18.1
ALB,Bahrain Grand Prix,3.0,C1,0.126941176470595,0.6554,23.3,18.1
OCO,Bahrain Grand Prix,8.0,C1,0.9463529411764711,0.8154,23.3,18.1
RIC,Bahrain Grand Prix,5.0,C1,0.7167058823529402,0.7066,23.3,18.1
HUL,Bahrain Grand Prix,17.0,C1,1.7094999999999914,0.3116,23.3,18.1
BOT,Bahrain Grand Prix,6.0,C1,1.243088235294124,0.7806,23.3,18.1
GAS,Bahrain Grand Prix,6.0,C1,0.4040714285714273,0.7962,23.3,18.1
VER,Bahrain Grand Prix,2.0,C1,0.03409615384616416,0.0,23.3,18.1
PER,Bahrain Grand Prix,7.0,C1,0.0741346153846223,0.0,23.3,18.1
SAI,Bahrain Grand Prix,5.0,C1,0.4315192307692399,0.5038,23.3,18.1
RUS,Bahrain Grand Prix,8.0,C1,0.1654423076923166,0.7636000000000001,23.3,18.1
LEC,Bahrain Grand Prix,8.0,C1,0.5284423076923019,0.6862,23.3,18.1
NOR,Bahrain Grand Prix,6.0,C1,-0.13067307692307395,0.15679999999999994,23.3,18.1
PIA,Bahrain Grand Prix,7.0,C1,0.01413461538462002,0.5396,23.3,18.1
